Archivo,Hu_1,Hu_2,Hu_3,Hu_4,Hu_5,Hu_6,Hu_7
mask_papa4.jpg,3.15055515820506,6.98675583585806,9.959862534549128,9.99644467210921,9.99999999999999,9.999998855422875,-10.0
mask_papa5.jpg,3.150367086640437,6.986286198428911,9.957129550736836,9.99635019848065,9.99999999999999,9.999998824659968,10.0
mask_papa6.jpg,3.148891376993239,6.973185316538825,9.955988887170507,9.995999395502354,9.999999999999988,9.999998690769196,-10.0
mask_papa7.jpg,3.149037332072198,6.973549390717426,9.956830049479723,9.996190772857304,9.999999999999988,9.999998755155145,10.0
mask_papa8.jpg,3.175330322646271,7.286864763717258,9.976746569939472,9.999084962460907,9.999999999999998,9.999999792923507,10.0
mask_papa9.jpg,3.1495546710616975,6.979490492537925,9.957162725834221,9.99606908757301,9.999999999999988,9.99999874096176,9.999999999999998
mask_zanahoria1.jpg,2.780980445122254,5.635930602061399,9.35092964937975,9.463519540283437,9.999999999692458,9.99840775111738,-9.999999999991452
mask_zanahoria10.jpg,2.7228215159885347,5.500477592248237,9.317033075785229,9.416196642527,9.999999999594847,9.99782556387042,-9.999999999993658
mask_zanahoria11.jpg,2.7213012970029182,5.499830387870344,9.123098072334201,9.22963346347172,9.999999998798577,9.996245730982933,9.99999999998736
mask_zanahoria12.jpg,2.7117023086737655,5.478158391929526,9.0969626769394,9.199923327286426,9.999999998593875,9.995816617185069,9.999999999993017
mask_zanahoria13.jpg,2.7050304095751,5.463901360918261,9.056754529635924,9.163553470450035,9.999999998281393,9.995314450323754,9.999999999984327
mask_zanahoria14.jpg,2.710038631527942,5.474227792529536,9.1587494344427,9.261127997661706,9.99999999899613,9.996456265708423,9.999999999990104
mask_zanahoria15.jpg,2.7023206880433226,5.457001797049726,9.079920432307581,9.180285043406483,9.999999998441934,9.995483865920663,9.999999999987674
mask_zanahoria16.jpg,2.7165266724752763,5.488141314331141,9.228368759840357,9.331960210317497,9.999999999327265,9.99716350041474,9.999999999988054
mask_zanahoria17.jpg,2.721625018674443,5.5007259302793186,9.112795153314979,9.221642394071928,9.999999998740954,9.99616185929322,9.99999999998894
mask_zanahoria2.jpg,2.7099674973255286,5.474148996899483,9.098457665913974,9.202458177280265,9.99999999861122,9.995832756080913,9.999999999986533
mask_zanahoria3.jpg,2.746832599727296,5.5574112945736305,9.188191791696605,9.29387536449742,9.999999999160954,9.9970590892737,-9.999999999996264
mask_zanahoria4.jpg,2.71243142182116,5.479435506756454,9.11370235316254,9.216340892829903,9.99999999871456,9.996011281033796,9.999999999988951
mask_zanahoria5.jpg,2.704507580573091,5.46147384528172,9.08753036490876,9.193115494494755,9.999999998536312,9.995681190999525,-9.999999999972037
mask_zanahoria6.jpg,2.7568607295314216,5.579147066354926,9.339592915266262,9.440974058289033,9.999999999651267,9.998160493589264,-9.999999999994715
mask_zanahoria7.jpg,2.720927791737177,5.498184909912413,9.196911281773808,9.318241864695711,9.99999999925448,9.997122701573039,-9.999999999970322
mask_zanahoria8.jpg,2.704903792674913,5.462309900044245,9.118368240334533,9.229195056954742,9.999999998789173,9.996110838245396,-9.999999999967732
mask_zanahoria9.jpg,2.7416818303773987,5.558791362668419,9.366815860777942,9.502648321377034,9.999999999753422,9.998463845369425,9.999999999979808
